character,cast
Scar,John Vickery
Rafiki,Tsidii Le Loka
Mufasa,Samuel E. Wright
Young Simba,Scott Irby-Ranniar
Young Nala,Kajuana Shuford
Simba,Jason Raize
Nala,Heather Headley
Timon,Max Casella
Pumbaa,Tom Alan Robbins
Zazu,Geoff Hoyle
Shenzi,Tracy Nicole Chapman
Banzai,Stanley Wayne Mathis	
Ed,Kevin Cahoon
Sarabi,Gina Breedlove
