character,cast
"Faust, a philosopher and metaphysician",Joseph-Théodore-Désiré Barbot
"Méphistophélès, a familiar spirit of Hell",Mathieu-Émile Balanqué
"Marguerite, a young maiden",Marie Caroline Miolan-Carvalho
"Valentin, a soldier and Marguerite's brothe",Osmond Raynal
"Wagner, friend of Valentin",M. Cibot
"Siébel, a youth in love with Marguerite",Amélie Faivre
"Marthe Schwerlein, Marguerite's guardian",Duclos
