character,cast
The Phantom of the Opera,Michael Crawford
Christine Daaé,Sarah Brightman and Claire Moore
"Raoul, Vicomte de Chagny",Steve Barton
Carlotta Guidicelli,Rosemary Ashe
M. Gilles André,David Firth
M. Richard Firmin,John Savident
Madame Giry,Mary Millar
Meg Giry,Janet Devenish
