character,cast
"Santuzza, a peasant girl",Gemma Bellincioni
"Turiddu, a young villager recently returned from the army",Roberto Stagno
"Lucia, his mother",Federica Casali
"Alfio, a carter",Gaudenzio Salassa
"Lola, Alfio's wife",Annetta Gulì
