character,cast
"Schaunard, a musician",Jacques [Gianni] Isnardon
"Rodolfo, a poet",Rodolfo Angelini-Fornari
"Marcello, a painter",Giovanni Beduschi
Mimì,Rosina Storchio
Gaudenzio,Enrico Giordani
Musetta,Elisa Frandin
"Colline, a philosopher",Lucio Aristi
Eufemia,Clelia Cappelli
Barbemuche,Giuseppe Frigiotti
Durand,Enrico Giordani
