character,cast
Jean Valjean,Maurice Barrier
Javert,Jean Vallée
Fantine,Rose Laurens
Thénardier,Yvan Dautin
Mme. Thénardier,Marie-France Roussel
Cosette,Fabienne Guyon
Marius,Gilles Buhlmann
Éponine,Marianne Mille
Enjolras,Christian Ratellin
Gavroche,"Florence Davis, Cyrille Dupont and Fabrice Ploquin"
