character,cast
Siegmund,Heinrich Vogl
Sieglinde,Therese Vogl
Hunding,Kaspar Bausewein
Wotan,August Kindermann
Fricka,Anna Kaufmann
Brünnhilde,Sophie Stehle
Gerhilde,Karoline Lenoff
Ortlinde,Henriette Müller-Marion
Waltraute,Hemauer
Schwertleite,Emma Seehofer
Helmwige,Anna Possart-Deinet
Siegrune,Anna Eichheim
Grimgerde,Wilhelmine Ritter
Roßweiße,Juliane Tyroler
