character,cast
Donna Sheridan,Siobhán McCarthy
Rosie,Jenny Galloway
Tanya,Louise Plowright
Sam Carmichael,	Hilton McRae
Bill Austin,Nicolas Colicos
Harry Bright,Paul Clarkson
Sophie Sheridan,Lisa Stokke
Sky,Andrew Langtree
Pepper,Neal Wright
Eddie,Nigel Harman
Ali,Eliza Lumley
Lisa,Melissa Gibson
